Timestamp,Event Type,Details
2025-07-23 07:35:52,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:35:53,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:35:54,Axis Motion,UP (Axis Y -1)
2025-07-23 07:35:55,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:35:55,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:35:55,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:35:56,Axis Motion,UP (Axis Y -1)
2025-07-23 07:35:56,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:35:57,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:35:57,Axis Motion,UP (Axis Y -1)
2025-07-23 07:35:58,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:03,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:04,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:04,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:04,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:04,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:05,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:05,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:05,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:05,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:06,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:06,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:06,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:06,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:07,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:07,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:07,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:10,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:10,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:10,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:10,Axis Motion,DOWN (Axis Y +1)
2025-07-23 07:36:10,Axis Motion,LEFT (Axis X -1)
2025-07-23 07:36:11,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:11,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:11,Axis Motion,RIGHT (Axis X +1)
2025-07-23 07:36:11,Axis Motion,UP (Axis Y -1)
2025-07-23 07:36:11,Axis Motion,DOWN (Axis Y +1)
